Cable,Descrip.,Temperatura [°C],Esp. manguito hielo [cm],Vano Regulador [m],Carga Peso [daN/m],Carga Hielo [daN/m],Carga Viento [daN/m],Carga vectorial [daN/m],Tensión [daN/mm2],Tiro [daN],Flecha [m],Flecha Vertical [m],% rotura,Estado determinante,Rel. flecha
Conductor,Tmáx,35,0.0,400.0,1.65,0.0,0.0,1.65,4.26,2091.56,15.81,15.81,15.33,,
Conductor,Tmín,-20,0.0,400.0,1.65,0.0,0.0,1.65,4.87,2389.86,13.83,13.83,17.51,,
Conductor,Vmáx,10,0.0,400.0,1.65,0.0,2.39,2.91,7.52,3688.33,15.77,8.96,27.03,,
Conductor,Vmed,-5,1.0,400.0,1.65,1.08,0.65,2.81,7.52,3688.15,15.21,14.8,27.03,,
Conductor,TMA,8,0.0,400.0,1.65,0.0,0.0,1.65,4.53,2224.37,14.86,14.86,16.3,🟡,
Guardia,Tmáx,35,0.0,400.0,0.29,0.0,0.0,0.29,6.72,387.78,14.92,14.92,10.99,,0.94
Guardia,Tmín,-20,0.0,400.0,0.29,0.0,0.0,0.29,7.55,436.05,13.27,13.27,12.35,🟡,0.96
Guardia,Vmáx,10,0.0,400.0,0.29,0.0,0.87,0.92,19.41,1120.59,16.41,5.16,31.74,,0.58
Guardia,Vmed,-5,1.0,400.0,0.29,0.57,0.41,0.95,20.37,1175.79,16.14,14.59,33.31,,0.99
Guardia,TMA,8,0.0,400.0,0.29,0.0,0.0,0.29,7.09,409.55,14.13,14.13,11.6,,0.95
