ID,Elemento,Código,Carga,Estado Climático,Magnitud,Unidad,Direccion
1,Conductor,Pc,Peso de Gravivano,NA,661.2,daN,Vertical
2,Cable Guardia,Pcg,Peso de Gravivano,NA,115.71,daN,Vertical
3,Conductor,Pch,Peso adicional por hielo,NA,430.48,daN,Vertical
4,Cable Guardia,Pcgh,Peso Adicional por hielo,NA,227.44,daN,Vertical
5,Cadena,Pa,Peso de Cadena de Aisladores y Herrajes,NA,10.5,daN,Vertical
6,Estructura,CS,Carga de Servicio,NA,220.0,daN,Vertical
7,Conductor,Vc,Viento Máximo en Eolovano,Vmax,957.4,daN,Transversal
8,Conductor,VcL,Viento Máximo en Eolovano,Vmax,0.0,daN,Longitudinal
9,Cable Guardia,Vcg,Viento Máximo en Eolovano,Vmax,349.05,daN,Transversal
10,Cable Guardia,VcgL,Viento Máximo en Eolovano,Vmax,0.0,daN,Longitudinal
11,Conductor,Vc_o_t_1,Viento Máximo en Eolovano - Oblícuo - Lado 1,Vmax,366.76,daN,Transversal
12,Conductor,Vc_o_l_1,Viento Máximo en Eolovano - Oblícuo - Lado 1,Vmax,0.0,daN,Longitudinal
13,Conductor,Vc_o_t_2,Viento Máximo en Eolovano - Oblícuo - Lado 2,Vmax,366.76,daN,Transversal
14,Conductor,Vc_o_l_2,Viento Máximo en Eolovano - Oblícuo - Lado 2,Vmax,0.0,daN,Longitudinal
15,Cable Guardia,Vcg_o_t_1,Viento Máximo en Eolovano - Oblícuo - Lado 1,Vmax,133.71,daN,Transversal
16,Cable Guardia,Vcg_o_l_1,Viento Máximo en Eolovano - Oblícuo - Lado 1,Vmax,0.0,daN,Longitudinal
17,Cable Guardia,Vcg_o_t_2,Viento Máximo en Eolovano - Oblícuo - Lado 2,Vmax,133.71,daN,Transversal
18,Cable Guardia,Vcg_o_l_2,Viento Máximo en Eolovano - Oblícuo - Lado 2,Vmax,0.0,daN,Longitudinal
19,Conductor,Vcmed,Viento Medio en Eolovano,Vmed,259.56,daN,Transversal
20,Conductor,VcmedL,Viento Medio en Eolovano,Vmed,0.0,daN,Longitudinal
21,Cable Guardia,Vcgmed,Viento Medio en Eolovano,Vmed,162.23,daN,Transversal
22,Cable Guardia,VcgmedL,Viento Medio en Eolovano,Vmed,0.0,daN,Longitudinal
23,Conductor,Vcmed_o_t_1,Viento Medio en Eolovano - Oblícuo - Lado 1,Vmed,99.43,daN,Transversal
24,Conductor,Vcmed_o_l_1,Viento Medio en Eolovano - Oblícuo - Lado 1,Vmed,0.0,daN,Longitudinal
25,Conductor,Vcmed_o_t_2,Viento Medio en Eolovano - Oblícuo - Lado 2,Vmed,99.43,daN,Transversal
26,Conductor,Vcmed_o_l_2,Viento Medio en Eolovano - Oblícuo - Lado 2,Vmed,0.0,daN,Longitudinal
27,Cable Guardia,Vcgmed_o_t_1,Viento Medio en Eolovano - Oblícuo - Lado 1,Vmed,62.15,daN,Transversal
28,Cable Guardia,Vcgmed_o_l_1,Viento Medio en Eolovano - Oblícuo - Lado 1,Vmed,0.0,daN,Longitudinal
29,Cable Guardia,Vcgmed_o_t_2,Viento Medio en Eolovano - Oblícuo - Lado 2,Vmed,62.15,daN,Transversal
