,,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta,Recta
Nodo,Unidad,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
BASE,daN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS_H1,daN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS_H2,daN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1_R,daN,0.0,0.0,-661.2,957.4,0.0,-661.2,0.0,0.0,-661.2,733.52,0.0,-661.2,259.56,0.0,-1091.68,0.0,737.63,-1091.68,0.0,0.0,-1653.0,0.0,0.0,-661.2,0.0,0.0,-661.2
C2_R,daN,0.0,0.0,-661.2,957.4,0.0,-661.2,0.0,0.0,-661.2,733.52,0.0,-661.2,259.56,0.0,-1091.68,0.0,737.63,-1091.68,0.0,0.0,-1653.0,0.0,0.0,-661.2,0.0,0.0,-661.2
C1_L,daN,0.0,0.0,-661.2,957.4,0.0,-661.2,0.0,0.0,-661.2,733.52,0.0,-661.2,259.56,0.0,-1091.68,0.0,737.63,-1091.68,0.0,0.0,-1873.0,0.0,0.0,-661.2,0.0,0.0,-661.2
C2_L,daN,0.0,0.0,-661.2,957.4,0.0,-661.2,0.0,0.0,-661.2,733.52,0.0,-661.2,259.56,0.0,-1091.68,0.0,737.63,-1091.68,0.0,0.0,-1653.0,0.0,0.0,-661.2,0.0,0.0,-661.2
C3_R,daN,0.0,0.0,-661.2,957.4,0.0,-661.2,0.0,0.0,-661.2,733.52,0.0,-661.2,259.56,0.0,-1091.68,0.0,737.63,-1091.68,0.0,0.0,-1653.0,0.0,0.0,-661.2,0.0,0.0,-661.2
C3_L,daN,0.0,0.0,-661.2,957.4,0.0,-661.2,0.0,0.0,-661.2,733.52,0.0,-661.2,259.56,0.0,-1091.68,0.0,737.63,-1091.68,0.0,0.0,-1653.0,0.0,2397.3,-330.6,0.0,0.0,-661.2
TOP,daN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HG1,daN,0.0,0.0,-115.71,349.05,0.0,-115.71,0.0,0.0,-115.71,267.42,0.0,-115.71,162.23,0.0,-343.16,0.0,470.32,-343.16,0.0,0.0,-289.28,0.0,823.06,-57.86,0.0,0.0,-115.71
HG2,daN,0.0,0.0,-115.71,349.05,0.0,-115.71,0.0,0.0,-115.71,267.42,0.0,-115.71,162.23,0.0,-343.16,0.0,470.32,-343.16,0.0,0.0,-289.28,0.0,0.0,-115.71,0.0,0.0,-115.71
V,daN,0.0,0.0,0.0,148.45,0.0,0.0,0.0,162.98,0.0,74.23,81.49,0.0,23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEDIO,daN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
